StateName,state_code,state_region,nfl_presence,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
South Dakota,SD,Midwest,,"28,772.10","30,038.30","32,124.90","32,396.90","35,776.00","36,141.90","37,616.60","39,330.60","39,961.60","41,646.20","43,278.50","44,255.80","44,810.70","47,630.30","48,653.90","48,610.10","49,640.90","50,860.80"
Tennessee,TN,South,Y,"240,963.40","248,457.50","251,030.20","250,311.40","258,542.40","267,589.40","281,564.20","289,064.30","295,668.20","294,819.80","298,526.90","287,308.80","292,687.00","301,508.90","311,754.20","318,347.90","323,879.60","335,461.10"
Texas,TX,Southwest,Y,"920,059.60","957,247.20","989,904.90","1,020,517.00","1,042,584.40","1,052,132.30","1,111,189.10","1,143,413.10","1,225,147.30","1,288,828.70","1,287,191.50","1,285,560.20","1,323,059.10","1,370,174.90","1,438,354.40","1,511,806.50","1,559,636.10","1,634,127.10"
Utah,UT,West,,"91,312.70","95,206.80","98,648.50","100,244.30","102,828.10","104,829.20","111,318.90","118,430.20","127,539.40","133,799.80","133,662.90","130,958.60","133,739.10","138,301.10","140,622.50","145,026.90","150,076.30","155,431.50"
Vermont,VT,New England,,"22,266.50","23,561.70","24,844.60","25,681.80","26,522.80","27,548.10","28,989.20","29,283.20","29,420.90","29,296.60","30,168.60","29,565.70","30,890.60","31,663.60","31,898.10","31,494.60","31,847.70","32,042.90"
Virginia,VA,South,,"338,931.50","356,391.80","372,914.10","386,444.70","390,242.40","404,522.20","421,744.40","442,089.50","451,263.10","457,568.90","462,034.70","460,075.30","475,699.30","479,571.40","483,041.40","488,741.30","488,918.60","498,943.60"
Washington,WA,West,Y,"299,817.00","322,721.60","325,857.60","317,860.60","321,977.10","327,645.20","335,449.30","358,396.30","372,145.00","394,221.90","401,093.20","390,814.00","403,471.30","411,575.70","426,447.00","439,472.20","456,186.50","476,715.40"
West Virginia,WV,South,,"61,725.70","63,691.70","63,364.60","63,599.80","64,465.70","65,106.80","66,077.60","67,888.80","68,900.00","69,374.10","70,966.80","70,886.50","71,823.80","73,175.20","73,124.50","73,949.00","74,111.30","74,261.40"
Wisconsin,WI,Midwest,Y,"232,087.10","242,026.00","248,572.00","252,941.80","257,966.90","265,745.80","275,412.40","282,065.70","287,146.60","289,855.20","286,204.70","277,279.40","287,652.90","293,664.00","299,007.60","301,550.50","309,425.80","315,687.80"
Wyoming,WY,West,,"24,804.70","25,866.80","26,614.20","28,338.10","28,901.30","29,806.60","30,780.10","32,463.10","36,655.60","39,504.80","41,641.20","40,599.60","39,135.80","38,929.80","38,085.00","38,408.70","39,287.20","40,063.90"
